"Attach Invoice as PDF","Adjuntar la factura en PDF"
"Attach Terms and Conditions","Adjuntar Termes i Condicions"
"Attach Packing Slip as PDF","Adjuntar fulla d'embalatge com PDF"
"Attach Credit Memo as PDF","Adjuntar factura devolució com a PDF"
"Attach Order as PDF","Adjuntar comanda en PDF"
"Print Orders","Print Orders"
"Attach Product Attachments","Attach Product Attachments"
