"Attach Invoice as PDF","Adjunta la Factura como PDF"
"Attach Terms and Conditions","Adjunta los Terminos de venta y condiciones"
"Attach Shipment as PDF","Adjunta los detalles del envio como PDF"
"Attach Credit Memo as PDF","Adjunta el Memo de Credito como PDF"
"Attach Order as PDF","Attach Order as PDF"
"Print Orders","Print Orders"
"Attach Product Attachments","Attach Product Attachments"
