"Attach Invoice as PDF","Να συμπεριληφθεί το Τιμολόγιο σε μορφή PDF"
"Attach Terms and Conditions","Να συμπεριληφθούν στο μύνημα οι Όροι Συναλλαγής"
"Attach Packing Slip as PDF","Να συμπεριληφθεί η Φορτωτική σε μορφή PDF"
"Attach Credit Memo as PDF","Να συμπεριληφθεί το Πιστωτικό Τιμολόγιο σε μορφή PDF"
"Attach Order as PDF","Να συμπεριληφθεί η Παραγγελία σε μορφή PDF"
"Print Orders","Print Orders"
"Attach Product Attachments","Attach Product Attachments"
