"Attach Invoice as PDF","Legg ved faktura som PDF"
"Attach Terms and Conditions","Legg ved salgs- og leveringsbetingelser som PDF"
"Attach Packing Slip as PDF","Legg ved pakkseddel som PDF"
"Attach Credit Memo as PDF","Legg ved kreditnota som PDF"
"Attach Order as PDF","Legg ved ordre som PDF"
"Print Orders","Print Orders"
"Attach Product Attachments","Attach Product Attachments"
