"Attach Invoice as PDF","Ataşaţi factura în format PDF"
"Attach Terms and Conditions","Ataşati Termeni şi Condiţii"
"Attach Packing Slip as PDF","Ataşaţi Avizul de Livrare în format PDF"
"Attach Credit Memo as PDF","Ataşaţi Avizul de Returnare în format PDF"
"Attach Order as PDF","Ataşaţi Formularul de Comanda în format PDF"
"Print Orders","Print Orders"
"Attach Product Attachments","Attach Product Attachments"
